0,300
1,312
2,322
3,334
3,360
0,480
3,504
1,526
2,552
0,574
3,612
2,684
1,744
0,814
3,886
2,900
1,912
0,924
3,934
2,946
1,960
0,972
2,984
2,994
1,1066
0,1126
1,1246
2,1246
1,1260
2,1260
3,1380
2,1392
1,1404
0,1464
1,1486
3,1524
2,1584
1,1644
0,1714
1,1740
2,1774
3,1800
3,1812
3,1824
3,1834
3,1846
3,1860
3,1872
3,1884
3,1894
1,1906
2,1906
0,1932
3,1932
1,1942
2,1942
1,1954
2,1954
1,1966
2,1966
0,2004
3,2004
1,2040
2,2040
0,2064
3,2064
1,2076
2,2076
1,2088
2,2088
1,2100
2,2100
0,2172
3,2172
0,2194
3,2194
1,2206
2,2206
1,2220
2,2220
1,2232
2,2232
1,2254
2,2254
1,2292
2,2302
1,2314
2,2326
1,2340
2,2352
1,2364
2,2374
1,2386
2,2400
1,2412
2,2424
3,2604
3,2746
2,2760
3,2772
2,2784
3,2794
2,2806
3,2820
2,2832
3,2844
2,2854
3,2866
2,2880
3,2892
1,2904
2,2904
3,2914
0,2926
2,2926
3,2940
2,2952
3,2964
2,2974
3,2986
2,3000
3,3012
2,3024
3,3034
2,3046
3,3060
0,3072
2,3072
3,3084
1,3094
2,3094
3,3106
2,3120
3,3132
2,3144
3,3154
2,3166
3,3180
2,3192
3,3204
2,3214
3,3226
2,3240
3,3252
2,3264
3,3274
2,3286
1,3300
3,3300
2,3312
3,3324
2,3334
3,3346
2,3360
3,3372
2,3384
0,3394
3,3394
2,3406
3,3420
1,3432
2,3432
3,3444
2,3454
3,3466
2,3480
1,3492
0,3504
1,3514
0,3526
1,3540
0,3552
1,3564
0,3574
1,3586
0,3600
1,3612
0,3624
1,3634
0,3646
1,3660
0,3672
1,3684
0,3694
1,3706
0,3720
1,3732
2,3732
0,3744
1,3754
3,3754
0,3766
1,3780
0,3792
1,3804
0,3814
1,3826
0,3840
1,3852
3,3852
0,3864
1,3874
0,3886
1,3900
0,3912
1,3924
0,3934
1,3946
0,3960
1,3972
0,3984
1,3994
2,3994
0,4006
1,4020
3,4020
0,4032
1,4044
0,4054
1,4066
0,4080
2,4080
1,4092
0,4104
1,4114
0,4126
3,4126
1,4140
0,4152
1,4164
0,4174
1,4186
0,4200
1,4224
2,4224
2,4306
1,4404
3,4572
2,4584
1,4594
0,4774
1,4824
2,4846
3,4894
1,4966
2,4966
3,5052
2,5146
0,5304
1,5316
2,5328
3,5520
2,5554
1,5580
0,5626
1,5700
2,5700
3,5892
3,5926
3,5940
3,5952
2,5974
2,6024
2,6034
2,6046
1,6072
1,6120
1,6132
1,6144
0,6166
